ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,intercept,half_life,n_obs,orientation
ES,FE,utilities_top50,0.26926782476782685,-2.522428868587954,-0.11181943723170326,69.29957082303821,30.463943845319893,757,ES on FE
ORA,FE,utilities_top50,0.269290288785605,-2.5223769785285834,-0.08922639386077418,71.03341057024956,55.34040003113201,757,ORA on FE
AEE,NFG,utilities_top50,0.2697801690262618,-2.5212459632473947,0.33282117056932137,51.871573064054694,32.207610098443155,757,AEE on NFG
POR,OGE,utilities_top50,0.26983226376025143,-2.521125752901667,1.0429713316453684,8.930844422076962,29.006116584990064,757,POR on OGE
XEL,MDU,utilities_top50,0.2714424897683885,-2.517416114353051,1.9214670894144206,36.0935067599061,39.38342698964901,757,XEL on MDU
ED,UGI,utilities_top50,0.2720864795533773,-2.5159357287537487,0.27541609673949613,55.20609021955756,25.75719745915724,757,ED on UGI
ORA,OTTR,utilities_top50,0.2723383150724693,-2.515357315773588,0.1942785838337689,60.288875184229596,58.50036991587011,757,ORA on OTTR
PPL,SO,utilities_top50,0.2728554173884813,-2.514170517513314,0.20631283038203602,13.394391300309323,40.18026431861423,757,PPL on SO
NRG,AWR,utilities_top50,0.27302126922033676,-2.5137901210107905,0.1482936660111049,20.87107781904908,40.8586786796574,757,NRG on AWR
ORA,DUK,utilities_top50,0.27408537513479625,-2.5113523577573256,0.5820128556921834,26.124076587886943,56.49918883584713,757,ORA on DUK
WEC,IDA,utilities_top50,0.2744704091747192,-2.510471496412203,0.3291738503796194,46.23764176017087,43.08290165619324,757,WEC on IDA
AVA,UGI,utilities_top50,0.27519388148937407,-2.50881810704072,0.20317875779210748,25.08266000882332,31.005371230979705,757,AVA on UGI
DTE,CWEN,utilities_top50,0.27560712645266755,-2.507874707546971,0.9957753767612688,69.38902034460732,45.4974812174625,757,DTE on CWEN
XEL,ED,utilities_top50,0.275644919458112,-2.507788466217691,0.08550132915389219,47.17775149677704,43.330064856256676,757,XEL on ED
AWK,CPK,utilities_top50,0.2757070408247594,-2.5076467223455152,1.210462351525677,13.419849942633068,56.60258484271209,757,AWK on CPK
ES,OTTR,utilities_top50,0.2758197412667006,-2.5073896130982396,0.1586913062112581,59.34441118465571,34.547926782946625,757,ES on OTTR
ORA,IDA,utilities_top50,0.2761189062909493,-2.506707376025767,0.275096720629521,45.64985745485067,60.99112977874217,757,ORA on IDA
OGS,WTRG,utilities_top50,0.27644175184984987,-2.5059715643724605,-0.16654236813479673,71.14323789163566,23.59584599087997,757,OGS on WTRG
ORA,NRG,utilities_top50,0.2766458358991929,-2.5055066560824275,0.8739854450576484,40.85969382678155,56.28456536281717,757,ORA on NRG
WTRG,NRG,utilities_top50,0.2781417628467473,-2.502104275645341,0.3595212539160118,25.454351299698725,46.78983230747211,757,WTRG on NRG
AWR,OTTR,utilities_top50,0.2798713605489718,-2.4981821020174433,0.7836070195689459,38.784953451239325,30.269575629464487,757,AWR on OTTR
ED,CNP,utilities_top50,0.279897093980525,-2.4981238404473967,0.6713061465333586,50.073797837005316,24.246495332063855,757,ED on CNP
NRG,CNP,utilities_top50,0.27998906527050615,-2.497915635894223,0.6465483748346226,17.92408160353224,32.980683436528054,757,NRG on CNP
EVRG,NEE,utilities_top50,0.28050774152104246,-2.496742108425163,0.18218412166170875,37.23244013966023,35.54088156756387,757,EVRG on NEE
WTRG,MDU,utilities_top50,0.2818823416676456,-2.4936373379805774,2.220991941519485,17.60826715331929,36.50407395199863,757,WTRG on MDU
NWE,BKH,utilities_top50,0.28279023769917866,-2.4915909012786894,0.8193135840136974,4.309670493392501,19.2500684743271,757,NWE on BKH
WEC,DUK,utilities_top50,0.28334614004693665,-2.4903395097300716,0.5803090061733459,31.29420729906798,36.94289095804119,757,WEC on DUK
NI,NEE,utilities_top50,0.28376099317771364,-2.489406439287205,-0.03260283207449035,22.812135060043737,24.726586158231953,757,NI on NEE
PPL,XEL,utilities_top50,0.28385098448483154,-2.4892041251315615,0.09083328373721387,18.25357616766564,42.56542458413841,757,PPL on XEL
