ticker_a,ticker_b,direction,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,slippage_cost,commission_cost,net_pnl
CB,FITB,-1,2022-10-19,2022-10-20,2022-11-14,17,signal,184.5400320380039,28.369107562299533,196.92100171533605,31.685097029451118,0.003749822922561912,0.010850366668956309,-0.009405733927913301,0.0010410083826990425,0.0010410083826992438,-0.011487750693311587
HBAN,TRV,1,2022-10-19,2022-10-20,2022-11-16,19,signal,11.53290540530962,161.19654486094828,12.755507025662487,166.8542324978494,0.03415906094136891,0.003759016908781043,0.021526994036400206,0.0010314142714630587,0.0010314142714630912,0.01946416549347406
NTRS,ZION,1,2022-10-19,2022-10-20,2022-10-31,7,signal,69.52473772367307,42.397665202896505,74.26143340856723,44.09695280982251,0.007795654587892701,0.010803681692871514,0.019594769759128293,0.0010276887216015295,0.0010276887216016904,0.01753939231592507
BAC,FITB,-1,2022-10-20,2022-10-21,2022-11-23,23,signal,30.338260655262985,26.859191197372446,33.9248962617294,31.11621051930183,0.01817625503136149,0.016698653433283916,0.006962975903823457,0.0010680890758268365,0.0010680890758268825,0.004826797752169738
ES,WEC,1,2022-10-20,2022-10-21,2023-01-12,56,signal,61.09220818312838,74.60649421017935,73.62661426085205,86.3685287135423,0.008040313779562413,0.006819653398184117,0.02165805248273113,0.0010904931477966294,0.001090493147796762,0.019477066187137737
AFL,USB,-1,2022-10-21,2022-10-24,2022-12-09,33,signal,56.02510958681,34.252752412705306,64.58791673262748,36.463873713366745,0.011401709760642377,0.010541601306745314,-0.07326157033702002,0.0010603122835204154,0.0010603122835204993,-0.07538219490406092
CVX,FANG,-1,2022-10-21,2022-10-24,2022-12-06,30,signal,146.3761985268966,129.5051686334417,150.59920992181725,121.6672110261391,0.004730826105979015,0.0023730854544516465,-0.03757798887000677,0.0010004868734292153,0.0010004868734293398,-0.03957896261686532
FITB,RF,-1,2022-10-21,2022-10-24,2022-10-28,4,signal,28.642432947163286,16.546423732115592,30.793592837431255,18.22568779869533,0.016112430827416927,0.032547156959361584,0.021039557593375703,0.0010447013728456223,0.0010447013728456874,0.018950154847684395
AJG,AMP,1,2022-10-25,2022-10-26,2022-11-22,19,signal,169.65513928402495,271.418189997351,188.2692642452676,311.4223252253382,0.003378087634604414,0.0015730813596469605,0.0010133639538676964,0.0010629780292555134,0.0010629780292556418,-0.0011125921046434587
CVX,EOG,-1,2022-10-25,2022-10-26,2022-11-10,11,signal,149.13225078957365,114.99335594935272,155.16516062858452,123.67806443355256,0.00432354357628111,0.003087788071014275,0.0017592960584172472,0.0010263053814070493,0.0010263053814071727,-0.0002933147043969748
AMP,MS,-1,2022-10-26,2022-10-27,2022-11-17,15,signal,279.0040705525083,72.22723264991207,300.6360992033055,78.79867353229056,0.0020818665445333892,0.005802099908066084,-0.005865341228478933,0.0010414989704934582,0.001041498970493512,-0.007948339169465904
