ticker_a,ticker_b,sector,pvalue,hedge_ratio,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
D,ES,utilities,0.007030178475303522,0.45475161967517597,12.247997111853993,-0.09867448396295664,-0.006194647522191289,0.06277861584274229,-0.018510196762738254,-0.16855570852875967,21,0.7142857142857143,16.285714285714285,0.02342118204785143,0.04193137881058965,-0.018510196762738206
D,NI,utilities,0.028089382168043815,0.16199474413533113,15.991980767763932,-0.1186325985616759,-0.01790059991918397,0.150891071562237,-0.05348869737756162,-0.28827968723577113,24,0.625,16.958333333333332,-0.0055277638410552825,0.04796093353650636,-0.05348869737756162
BKR,MPC,energy,0.03362495840490036,0.30518126401320866,22.8038272627342,-0.1302411384328962,-0.016914891626568736,0.1298736469144406,-0.050543307122247055,-0.2431819338110267,24,0.5416666666666666,17.958333333333332,-0.0021086647922116744,0.048434642330035416,-0.05054330712224706
CB,KEY,financials,0.03426488484519358,6.697130420579688,21.700138888239394,-0.1342709409925952,-0.012540974007397005,0.09340050732264264,-0.037473624712579146,-0.14652935222802377,21,0.5714285714285714,16.476190476190474,0.004889656493526951,0.04236328120610608,-0.03747362471257912
D,FE,utilities,0.029504928460623425,0.12339520767987514,15.852168656372084,-0.17245017675826904,-0.025630996693510294,0.1486284164813492,-0.0765878591675129,-0.30119667500100844,22,0.5909090909090909,18.454545454545453,-0.032664678950509965,0.04392318021700299,-0.07658785916751293
D,EXC,utilities,0.023171238359543187,0.08341312633574419,15.420043242633723,-0.17388787382079723,-0.026779930135725615,0.15400688700883236,-0.08002098171508487,-0.3047674792720001,23,0.5652173913043478,17.52173913043478,-0.034128116047685425,0.045892865667399474,-0.08002098171508493
AEP,EXC,utilities,0.033070010254243554,0.6569567566302554,26.05736082542064,-0.23497170155967811,-0.020609863880806833,0.08771211062440361,-0.061584236120029945,-0.1456011360908238,25,0.6,13.52,-0.01136416338823882,0.05022007273179113,-0.06158423612002992
CFG,MET,financials,0.0204628772095387,0.7784028022988897,15.651723555490376,-0.23952256120755103,-0.01890267239469815,0.07891812904554996,-0.056482985369871855,-0.1418685426391687,22,0.6818181818181818,15.136363636363637,-0.011856565713175674,0.0446264196566962,-0.056482985369871855
CB,FITB,financials,0.019228656143725195,2.8935677478720097,25.048397444036965,-0.2551348378337288,-0.023839547049148757,0.09343901151078778,-0.07123483701590878,-0.17837524402519167,24,0.4583333333333333,17.041666666666668,-0.02291710929774865,0.04831772771816015,-0.0712348370159088
AXP,MET,financials,0.034826625653780835,2.738286319422465,22.613355634965373,-0.2953878797720891,-0.027064363737290487,0.0916231355131172,-0.08087089640547515,-0.20726851064261853,24,0.5,17.916666666666668,-0.03226781833681804,0.048603078068657074,-0.08087089640547512
D,PNW,utilities,0.01921621564926787,0.00253024953480895,14.915308395406987,-0.33959813830296043,-0.05686942283829365,0.16746093816203322,-0.16993125157632985,-0.3135390597595251,25,0.6,16.68,-0.12006827263640094,0.04986297893992885,-0.16993125157632985
AEP,PPL,utilities,0.019907657224079434,1.7122454792226467,23.061810683950206,-0.3425541853700022,-0.022024020548124287,0.06429353804080816,-0.06580987092356186,-0.13701479203145406,23,0.6956521739130435,12.130434782608695,-0.01954448664026311,0.04626538428329875,-0.06580987092356187
CVX,EOG,energy,0.015633717953556003,0.7141799351702688,19.670878559375502,-0.35102235696894435,-0.028012805762214224,0.0798034803369877,-0.08370493150375917,-0.1542247514132684,27,0.5925925925925926,12.62962962962963,-0.02947306539791523,0.05423186610584395,-0.08370493150375921
ALL,COF,financials,0.01709149798563295,0.3878799158679899,22.478274967868774,-0.36016560037896095,-0.05041934704920407,0.1399893465565661,-0.15065781082559787,-0.22848002251217403,18,0.6111111111111112,19.11111111111111,-0.11387910623487535,0.036778704590722515,-0.15065781082559782
MS,TROW,financials,0.020795230103620672,0.5885011680895652,20.230731901572224,-0.37197147051830304,-0.03602608654122341,0.09685174642836146,-0.10764937764103663,-0.14954158108228732,17,0.7058823529411765,14.235294117647058,-0.07346797262904808,0.03418140501198849,-0.1076493776410366
AEP,ETR,utilities,0.0025230255282463134,1.0339742888804873,9.156534781219772,-0.37686097158939413,-0.025877178470806082,0.06866505268951106,-0.07732347376395626,-0.13630669818624008,23,0.5217391304347826,15.130434782608695,-0.031019371330386444,0.04630410243356986,-0.07732347376395629
D,WEC,utilities,0.007208699918608101,0.43433168553270485,9.573311156072341,-0.3808522381364695,-0.02452836204008631,0.06440388051834724,-0.0732930818102579,-0.1917433287341226,19,0.5263157894736842,16.0,-0.035408243319328306,0.03788483849092963,-0.07329308181025791
MET,PNC,financials,0.036169511168087885,0.30302217250890495,21.947307061402697,-0.5182229258681571,-0.03510413877341899,0.06773945539867905,-0.10489450990628768,-0.20267050660696717,19,0.631578947368421,17.157894736842106,-0.06648365540666784,0.03841085449961981,-0.10489450990628763
BKR,HAL,energy,0.04816100343949873,0.641631675904706,31.71401438840244,-0.6526022606429723,-0.06118829389361165,0.09376046879354398,-0.1828364496106729,-0.25108385179313764,20,0.6,15.4,-0.14246466264577698,0.0403717869648959,-0.18283644961067286
AFL,USB,financials,0.017403779360532567,0.9245632039445456,17.027159905884474,-0.6532319177899961,-0.050309534747297956,0.07701634500271262,-0.15032968120918794,-0.2664431708572814,23,0.6956521739130435,17.043478260869566,-0.10414718407020485,0.04618249713898319,-0.15032968120918788
AJG,BLK,financials,0.03099116066272165,0.1546374577957056,28.692850227505286,-0.7085259974842018,-0.06953078146921957,0.09813441103940569,-0.20776459700921562,-0.27774892086700886,18,0.5555555555555556,18.77777777777778,-0.17168603717428058,0.036078559834935006,-0.2077645970092156
D,XEL,utilities,0.046383292749257676,0.5530127854038973,11.296419006850627,-0.7489908521484111,-0.053966748067615346,0.07205261307640369,-0.1612577829163268,-0.19899205621145932,23,0.6086956521739131,15.608695652173912,-0.11548415300309475,0.04577362991323204,-0.1612577829163268
