ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,intercept,half_life,n_obs,orientation
PSX,KMI,energy,0.0371078183750787,-3.4498480232523865,6.15681758333869,-11.048254656928455,37.83759562109795,757,PSX on KMI
TRV,CFG,financials,0.03719220402724496,-3.4490001482248416,2.158835589696158,60.169168611439346,23.09166725969507,757,TRV on CFG
NTRS,JPM,financials,0.03746981009373183,-3.4462222398336935,0.5342587508868678,23.31149611257612,21.511630049249764,757,NTRS on JPM
NTRS,ZION,financials,0.0379945930430343,-3.441017857430478,1.3858595716427304,28.664127452250952,26.98658174900147,757,NTRS on ZION
KMI,XOM,energy,0.03834919533479337,-3.437535282611888,0.15066327222958242,5.370130951627479,26.867547803053178,757,KMI on XOM
C,USB,financials,0.038881752161393585,-3.432355452880912,1.1640712573661927,6.392275492798018,42.42701446605586,757,C on USB
BAC,PNC,financials,0.039695709954930984,-3.4245524327826096,0.21982689340995315,1.6777724980424418,20.69997085889486,757,BAC on PNC
BAC,FITB,financials,0.04068135758204083,-3.415280901469566,0.9187069483732629,5.931475871636897,24.09069360044769,757,BAC on FITB
NTRS,KEY,financials,0.0410153652458071,-3.412181656647067,4.134633399909517,26.93052106736877,23.108470913665144,757,NTRS on KEY
PPL,EIX,utilities,0.04106089254768129,-3.411760845437966,0.28447154750300974,9.810824810508175,28.316659664431146,757,PPL on EIX
AXP,FITB,financials,0.04127524006003534,-3.4097848425654522,3.5505264808358334,32.72056340680525,23.31427113541931,757,AXP on FITB
EIX,ED,utilities,0.043218097472108793,-3.3922542603652306,0.7401071614828186,-0.9484922406856522,23.35895894463498,757,EIX on ED
HAL,BKR,energy,0.04326179168017123,-3.391867616794425,1.2119791615140407,-3.9640316915022544,34.22349032809495,757,HAL on BKR
V,TROW,financials,0.04398034312878877,-3.385555405554078,0.7200533389289577,107.15338318322988,23.981607311261147,757,V on TROW
ALL,JPM,financials,0.044486101642862826,-3.3811637179256184,0.5235531048637911,36.78468806442784,30.203609139795716,757,ALL on JPM
AON,AMP,financials,0.04600831165708265,-3.368191321714899,0.6699294132422243,92.48570176039156,23.34099284336496,757,AON on AMP
MA,BLK,financials,0.0475805123034377,-3.3551609067046946,0.24944853173943662,164.02109424149705,27.93370249194432,757,MA on BLK
NTRS,SCHW,financials,0.047762182753531404,-3.3536782600572135,0.8381035213662368,41.055555842076444,22.62882567970881,757,NTRS on SCHW
V,PGR,financials,0.04805728845533029,-3.351279743687246,2.0534715505404453,36.59956769783033,22.623582557852,757,V on PGR
CB,SCHW,financials,0.04823230150522507,-3.3498630360011075,1.3012875691001815,75.40048098001786,30.89120159328194,757,CB on SCHW
AXP,PNC,financials,0.049775543059090925,-3.3375508061841135,0.8541662897415748,15.73751671333702,18.23367941856267,757,AXP on PNC
TFC,CB,financials,0.05045347498523527,-3.332241315172044,0.2942333030046666,-2.7236213853759867,25.949289696681404,757,TFC on CB
CB,NTRS,financials,0.0513351222987268,-3.325423377810638,1.4918879574686459,16.555222469896265,28.21589376800204,757,CB on NTRS
MSCI,NDAQ,financials,0.05157759333729111,-3.3235651723922235,11.24918527364968,-104.40888349090469,22.866523293765926,757,MSCI on NDAQ
V,BLK,financials,0.052146254216172264,-3.319235123693661,0.1399104111034679,111.09250497826476,26.36330421752546,757,V on BLK
ALL,GS,financials,0.052398422673085476,-3.3173273761026487,0.1637842114020122,56.23225698064563,32.38327646938519,757,ALL on GS
AON,MS,financials,0.052563848285760946,-3.316079952670182,1.8595273244723707,109.36857516780293,28.987460003456427,757,AON on MS
BKR,FANG,energy,0.05266216145683768,-3.315340126195771,0.1485589697290283,9.295674638778324,29.728904082910987,757,BKR on FANG
PNW,AWK,utilities,0.0537611976813615,-3.307145686002508,-0.0988197557802311,76.0498152610733,23.581006986703947,757,PNW on AWK
MPC,TRGP,energy,0.05483032534844467,-3.299304620222788,0.9631445254268695,14.730427812140382,19.43269147925698,757,MPC on TRGP
RF,PNC,financials,0.055205420651371254,-3.296583211523826,0.11374719577848481,-0.735582460101694,37.731857451822435,757,RF on PNC
TRV,TFC,financials,0.05753401964168336,-3.280017775490235,2.2234023377890746,37.33394597742758,25.30402343565778,757,TRV on TFC
AJG,NDAQ,financials,0.05804502540051085,-3.276455684975755,2.1545263297931596,16.66944410499114,24.681843746734163,757,AJG on NDAQ
APA,SLB,energy,0.05894333049040826,-3.270255058512085,0.8158410250670435,-3.000537750011925,22.920855211031135,757,APA on SLB
CB,BAC,financials,0.059662474877804204,-3.26534607536689,3.065267108698655,52.07728449485616,28.52590111718805,757,CB on BAC
AON,ICE,financials,0.05988319093083514,-3.2638490472470947,2.2210047237956805,-1.7716784226883244,30.587490115643156,757,AON on ICE
NTRS,CFG,financials,0.060778547893553754,-3.2578216073110715,1.7511204192310603,31.447921862976898,21.703190529361333,757,NTRS on CFG
AON,SCHW,financials,0.060981750414479625,-3.2564636744864353,2.3455480538387254,93.52774709383543,34.0234413639907,757,AON on SCHW
STT,MS,financials,0.06359043981639965,-3.239347053330411,0.5473521524672064,31.63783248988684,27.46877460505246,757,STT on MS
MA,ICE,financials,0.06467160006756019,-3.2324185240509697,2.64636043894513,51.753845444871054,26.37712585063805,757,MA on ICE
AXP,CB,financials,0.06491407190069028,-3.230877451121487,1.104896231380671,-34.526269214018924,24.553048448602983,757,AXP on CB
TROW,MSCI,financials,0.06607193876188018,-3.2235814753820824,0.2302243343774178,30.46237635188151,25.446224904839852,757,TROW on MSCI
KEY,CME,financials,0.06714434133729048,-3.2169148436683423,0.1518151763305631,-10.022491953859468,25.74721955690429,757,KEY on CME
CVX,XOM,energy,0.06754413109737768,-3.214451326322158,1.1201889570526702,29.01356461577241,20.471611117782547,757,CVX on XOM
HBAN,AFL,financials,0.06760621512060114,-3.2140698088659607,0.27403961074105926,-1.4098097229655524,29.92515597761156,757,HBAN on AFL
CFG,RF,financials,0.06794167774301238,-3.212013160591977,2.076194131113108,1.706271705490814,25.813360167510783,757,CFG on RF
NI,FE,utilities,0.06809319593561533,-3.211086893998273,0.2973909397021213,11.963161118042574,19.73322940318299,757,NI on FE
ALL,RF,financials,0.06916327369563663,-3.2045916743798872,3.274328456651802,51.35168383086478,43.712592789843555,757,ALL on RF
CB,CFG,financials,0.07026547930740774,-3.1979846637316136,2.8009510240808737,58.17825475781377,26.118598327823385,757,CB on CFG
AON,TROW,financials,0.07044809952722912,-3.1968979545544696,1.1193402975668045,81.97872542440442,30.860339297658488,757,AON on TROW
NTRS,MET,financials,0.07054418266175129,-3.19632709686468,1.3801580061363512,24.786864422423058,24.711905573544403,757,NTRS on MET
BKR,EOG,energy,0.07136465658477258,-3.1914774357688835,0.21735092113603469,6.417854768678074,30.05616757805863,757,BKR on EOG
STT,SCHW,financials,0.07190740132727545,-3.188293666751794,0.7329498524068818,24.966408251215267,28.220051578871914,757,STT on SCHW
CB,ZION,financials,0.07249508364910834,-3.1848677253698745,2.219568718695178,53.61829464481223,26.56623525469906,757,CB on ZION
CME,CB,financials,0.07311373147296904,-3.1812849781033137,0.6420503781989302,63.70640139578818,22.53022662863065,757,CME on CB
EQT,WMB,energy,0.07315034063594947,-3.1810737189661173,1.1306406083099858,-4.945411203532444,31.36807680763457,757,EQT on WMB
TRV,PRU,financials,0.07339173838189887,-3.1796827865348574,1.1515751302077706,46.721390613970925,24.465535344843985,757,TRV on PRU
ALL,AXP,financials,0.07373148494724134,-3.177731292343513,0.4732653189323085,37.73700435607126,29.55263757023033,757,ALL on AXP
STT,AON,financials,0.07380017215481462,-3.1773376202666253,0.2572275243294872,7.02887076922583,26.393549292169983,757,STT on AON
HAL,CVX,energy,0.07532984330785547,-3.1686446642391886,0.3478044575455388,-9.738468645060822,61.01824800195699,757,HAL on CVX
STT,NDAQ,financials,0.07632493862499153,-3.163064190974581,0.8408153569327957,26.18802732705769,28.492342851571966,757,STT on NDAQ
AON,AJG,financials,0.07655107967365102,-3.161804002801915,1.4084327822784193,60.30794184114128,30.616865356096014,757,AON on AJG
RF,CB,financials,0.0771003041155426,-3.1587555717625175,0.14529812213309024,-7.177535832836904,29.506268729588978,757,RF on CB
STT,AMP,financials,0.07741635789027937,-3.157009079018447,0.19385840115317687,27.224992322482315,28.212242048331127,757,STT on AMP
TFC,MET,financials,0.07971301421054727,-3.1444834282942167,0.7298104086080777,8.011743546563897,26.583446894527494,757,TFC on MET
ALL,BAC,financials,0.07991061477478445,-3.143419031010162,1.8123624235590157,42.83458039515487,39.777332377013714,757,ALL on BAC
TFC,CFG,financials,0.08047759575096713,-3.1403763293216116,0.9438990896953148,11.030471064931541,18.09066421139103,757,TFC on CFG
STT,TROW,financials,0.08069462452309539,-3.139216086457591,0.31762520020188145,24.870765571479485,32.348816757228995,757,STT on TROW
ALL,SCHW,financials,0.08194604563024177,-3.132573152431593,0.7629381747400797,56.929551118664,39.62946900933324,757,ALL on SCHW
DUK,AES,utilities,0.08305632942771202,-3.126745433625807,1.5569136496961096,48.051810685952745,28.952188999114764,757,DUK on AES
OKE,XOM,energy,0.08482916619603986,-3.1175647147840935,0.9962310170502098,-8.395519022608498,47.36558819881093,757,OKE on XOM
AEE,NEE,utilities,0.08514788220616343,-3.115930092915541,0.40936530516984865,41.9681974257092,16.414584738639803,757,AEE on NEE
V,MSCI,financials,0.0873671364893136,-3.104677825827393,0.1659641303525595,129.0227686366549,29.786423610870898,757,V on MSCI
DTE,NRG,utilities,0.08748912923227165,-3.104065739928124,1.5271375748841756,38.905717779262694,42.98749838504342,757,DTE on NRG
