ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
AXP,PNC,financials,0.049775543059090925,-3.3375508061841135,0.8541662897415748,AXP on PNC,18.23367941856267,0.4974395962700641,0.04449636404373291,0.08945078835174887,0.17710259180898455,-0.08607799856020804,30,0.6333333333333333,13.4,0.2371198094752832,0.06001721766629866,0.17710259180898458
MA,BLK,financials,0.0475805123034377,-3.3551609067046946,0.24944853173943662,MA on BLK,27.93370249194432,0.38012051193999413,0.03304732858514907,0.0869390825990625,0.1315336133766052,-0.07691650935159211,29,0.6206896551724138,14.241379310344827,0.18982391884292532,0.05829030546632009,0.13153361337660524
MA,PGR,financials,0.008821246466922514,-3.9367048815106496,3.83749763227657,MA on PGR,16.929294916880934,0.36922865945958466,0.039303941863564736,0.10644878412496823,0.15643592733791836,-0.12515280418433294,30,0.7,15.233333333333333,0.21675620046404576,0.06032027312612738,0.15643592733791836
RF,FITB,financials,0.02535007626494448,-3.5880221440483218,0.4837515736704011,RF on FITB,32.229834834428814,0.368582646166235,0.018540737568153744,0.050302795752873455,0.07379507849546907,-0.07905851529903729,28,0.6071428571428571,13.285714285714286,0.13022596889358332,0.05643089039811423,0.07379507849546904
NTRS,ZION,financials,0.0379945930430343,-3.441017857430478,1.3858595716427304,NTRS on ZION,26.98658174900147,0.35433582930551455,0.039861372046915235,0.11249602425202691,0.15865458794863485,-0.1326545671848549,30,0.7333333333333333,13.2,0.2185839819419311,0.05992939399329618,0.15865458794863482
MET,FITB,financials,0.021894622601537937,-3.6391875566102043,1.278106710782152,MET on FITB,19.191471213338232,0.3041736779303631,0.022828821241913745,0.07505192887577909,0.09086233216523606,-0.14367238590053544,27,0.6666666666666666,14.555555555555555,0.1455825223426917,0.05472019017745564,0.09086233216523606
TRV,HBAN,financials,0.011207498048607786,-3.861317948370887,7.708670456549697,TRV on HBAN,19.790003440243805,0.27726718288752056,0.02708941752629276,0.09770149227246333,0.10782018166218905,-0.12350081940301305,28,0.5714285714285714,16.464285714285715,0.16396947525228261,0.05614929359009352,0.10782018166218914
ES,WEC,utilities,0.015212388797699046,-3.7621831647194357,0.8481825343109871,ES on WEC,21.175005523790205,0.23184050081060623,0.01367496325301465,0.05898435866555482,0.054428524376086085,-0.09914712900167144,32,0.65625,16.0,0.11881757979886057,0.06438905542277443,0.05442852437608611
MET,RF,financials,0.027943370405683378,-3.5534360521561377,2.5929724449277947,MET on RF,22.918863075018315,0.20773234701367602,0.01566228531375499,0.07539646828677994,0.06233838162577879,-0.09619662074881175,33,0.7272727272727273,12.515151515151516,0.1291325244541396,0.06679414282836081,0.06233838162577878
BAC,FITB,financials,0.04068135758204083,-3.415280901469566,0.9187069483732629,BAC on FITB,24.09069360044769,0.2045776241586447,0.012061025358963477,0.058955740680664386,0.04800479537714431,-0.11351609700896792,27,0.7037037037037037,16.074074074074073,0.10230720010395997,0.05430240472681562,0.04800479537714433
